Year,State,City,Total_Population,Total_CO2
2012,CA,Brawley,50968.0,109834.0
2013,CA,Delano,104684.0,30891.0
2014,CA,Rio Vista,16020.0,816464.0
2015,CA,Rosemead,109020.0,1768048.0
2011,CA,Rancho Cucamonga,335890.0,131441.0
2014,CA,Oxnard,409252.0,754304.0
2015,CA,Santa Ana,667472.0,46982.0
2016,CA,Holtville,12848.0,16943.0
2018,CA,Carson,183818.0,8173866.0
2018,CA,Hanford,113820.0,46916.0
2018,CA,Pico Rivera,125776.0,0.0
2011,CA,Fullerton,272802.0,63624.0
2011,CA,Palo Alto,130716.0,170507.0
2011,CA,San Ramon,144372.0,2784617.0
2013,CA,Holtville,12054.0,20295.0
2014,CA,Anderson,20316.0,797069.0
2015,CA,Dixon,38574.0,34811.0
2015,CA,Redding,181980.0,591880.0
2015,CA,Willows,12032.0,52555.0
2016,CA,Burbank,208532.0,1008318.0
2016,CA,Rancho Cucamonga,351950.0,221413.0
2016,CA,Susanville,29704.0,29085.0
2017,CA,South San Francisco,134424.0,31087.0
2018,CA,Pittsburg,144874.0,2617383.0
2012,CA,Signal Hill,22294.0,31259.0
2012,CA,Sutter,114774.0,482621.0
2013,CA,Coalinga,33430.0,174721.0
2013,CA,Susanville,31030.0,27463.0
2013,CA,Truckee,32168.0,66709.0
2014,CA,Santa Paula,60742.0,24832.0
2017,CA,Chowchilla,36994.0,162509.0
2017,CA,El Centro,88120.0,476141.0
2017,CA,Needles,9974.0,37973.0
2013,CA,Avenal,28274.0,33569.0
2013,CA,Imperial,245736.0,1340196.0
2014,CA,Orange,3535964.0,85144.0
2015,CA,Fresno,2176959.0,710050.0
2015,CA,Kerman,28870.0,16808.0
2017,CA,Redondo Beach,135218.0,364424.0
2018,CA,San Ramon,151678.0,3.6310692E7
2012,CA,Avenal,29710.0,41896.0
2013,CA,Corcoran,46678.0,52075.0
2013,CA,San Marcos,178988.0,6882.0
2014,CA,San Francisco,2553348.0,4.3137003E7
2015,CA,Signal Hill,22962.0,35971.0
2015,CA,Truckee,32536.0,71716.0
2011,CA,Napa,319349.0,17457.0
2012,CA,Duarte,43222.0,14505.0
2013,CA,South Gate,189474.0,61315.0
2014,CA,Escalon,14714.0,23610.0
2016,CA,Berkeley,242974.0,142748.0
2018,CA,Sutter,117851.0,236091.0
2011,CA,Ripon,28968.0,60906.0
2011,CA,Shasta Lake,20196.0,70021.0
2013,CA,Escalon,14464.0,24232.0
2014,CA,Cerritos,99172.0,0.0
2014,CA,Mendota,22710.0,247440.0
2014,CA,Turlock,141624.0,1231579.0
2015,CA,Palmdale,314392.0,25209.0
2016,CA,McFarland,29008.0,0.0
2016,CA,San Juan Capistrano,71998.0,28674.0
2013,CA,Bakersfield,726898.0,1.2092014E7
2013,CA,Lemoore,49678.0,153614.0
2013,CA,Oakdale,42918.0,73116.0
2014,CA,Imperial,248294.0,1504324.0
2014,CA,Redondo Beach,135456.0,190184.0
2015,CA,Corcoran,45024.0,52463.0
2015,CA,Gilroy,106584.0,135746.0
2016,CA,Palmdale,313984.0,23251.0
2018,CA,Compton,193234.0,36426.0
2015,CA,Gardena,120028.0,20277.0
2015,CA,San Joaquin,879012.0,10524.0
2016,CA,Alameda,1958596.0,0.0
2016,CA,Redondo Beach,135810.0,226285.0
2018,CA,Chino,183166.0,18703.0
2012,CA,Arcata,35732.0,13207.0
2014,CA,Hanford,110118.0,121396.0
2014,CA,San Jose,2028836.0,1193197.0
2015,CA,Hanford,111170.0,85475.0
2015,CA,San Jose,2052198.0,1491938.0
2017,CA,Pomona,305318.0,0.0
2012,CA,Kerman,28582.0,14525.0
2016,CA,Visalia,261748.0,98400.0
2017,CA,Paramount,109332.0,148455.0
2017,CA,San Juan Capistrano,71884.0,28307.0
2017,CA,Santa Clara,2271542.0,1249297.0
2018,CA,Riverside,3504431.0,721671.0
2016,CA,Ceres,96164.0,69793.0
2016,CA,King City,27706.0,194371.0
2017,CA,Big Bear Lake,10534.0,0.0
2018,CA,Loma Linda,48764.0,57106.0
2011,CA,Manhattan Beach,70478.0,0.0
2011,CA,Redlands,138646.0,1801536.0
2012,CA,Oxnard,402168.0,823614.0
2013,CA,Taft,17854.0,48177.0
2014,CA,Carson,185534.0,8146259.0
2015,CA,Burbank,209226.0,1214883.0
2017,CA,Holtville,13124.0,17787.0
2011,CA,Apple Valley,140060.0,1401348.0
2011,CA,Watsonville,103168.0,12207.0
2013,CA,Salinas,310194.0,71860.0
2014,CA,Norwalk,212564.0,31765.0
2015,CA,Imperial,250021.0,1516172.0
2015,CA,San Ramon,150326.0,3.7206616E7
2016,CA,Santa Cruz,537941.0,33423.0
2017,CA,Newark,94758.0,26289.0
2018,CA,Fremont,475614.0,23770.0
2018,CA,Needles,9964.0,55194.0
2011,CA,Davis,131312.0,75370.0
2011,CA,Mendota,22688.0,229290.0
2013,CA,Richmond,214238.0,4263067.0
2013,CA,Willows,12134.0,54563.0
2016,CA,Long Beach,938870.0,3218706.0
2016,CA,Maricopa,2368.0,1577708.0
2012,CA,West Sacramento,99096.0,427763.0
2013,CA,Mendota,22720.0,241179.0
2013,CA,Riverside,3286413.0,761640.0
2014,CA,Paramount,109898.0,125990.0
2016,CA,Chula Vista,533220.0,48339.0
2016,CA,South San Francisco,134572.0,31437.0
2017,CA,Chino,179434.0,100895.0
2018,CA,Carlsbad,231754.0,632792.0
2011,CA,Biggs,3384.0,0.0
2011,CA,South San Francisco,128984.0,101687.0
2012,CA,Colton,105924.0,220037.0
2014,CA,San Luis Obispo,492940.0,69323.0
2014,CA,Truckee,32472.0,35720.0
2015,CA,Fremont,463394.0,33947.0
